counter,paper_id,Author,Journal,Inependent_Variable,Region,Country,Unit_of_analysis,Sample_size,Time_span,pop_density,Scopus_keywords,Def_pop_dens,Method,Countries,small_large
121,300,Hassaan et al. (2021),Journal of Primary Care & Community Health,Confirmed COVID-19 cases,World,Africa,Countries,54,"February 14 - August 16, 2020",Positive,Africa; COVID-19 case fatality; COVID-19 incidence; geographically weighted regression; GIS; Geographic Information Systems; HIV Infections; Humans; Incidence; SARS-CoV-2,People per square kilometer of land area,Spatial regression,"Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cabo Verde, Cameroon, Central African Republic, Chad, Comoros, Republic of the Congo , Democratic Republic of the Congo , Ivory Coast, Djibouti, Egypt, Equatorial Guinea, Eritrea, Swaziland, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Rwanda, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan,  Sudan, Tanzania, Togo, Tunisia, Uganda, Zambia, Zimbabwe",Large Geographical Areas
122,301,Mert (2021),"Journal of Land Use, Mobility and Environment",Confirmed COVID-19 cases,Middle East,Turkey,Urban area,6,"September 9 - December 27, 2020",Positive,Covid-19; Land use; Urban density; Image processing,People per hectare,Classification Algorithm,Turkey,Small Geographical Areas
123,305,Jin (2021),Process Safety and Environmental Protection,Confirmed COVID-19 cases,Asia,China,Provinces,31,"December 31, 2019 - November 1, 2020",Positive,Correlation analysis; COVID-19; Curve-fitting; Impact indicators; Spatial-temporal characteristics; Curve fitting; Epidemiology; Classification results; Correlation analysis; Epidemic development; Fully connected neural network; Polynomial; Factor analysis; fittings; Spatial differences; Spatial-temporal characteristics; Spatiotemporal characteristics,People per square kilometer of land area,Machine learning model,China,Large Geographical Areas
124,306,Gershengorn (2021),Annals of the American Thoeacic Society,Confirmed COVID-19 cases,North America,United States,Cases,15473,"March 1 - July 23, 2020",Positive,Coronavirus; Ethnic groups; Incidence; Race factors; Socioeconomic factors; Adult; COVID-19; Ethnic Groups; Hispanic Americans; Hospitalization; Humans; Retrospective Studies; SARS-CoV-2; Socioeconomic Factors,People per square mile of land area,Logistic,United States,Others
125,307,Sun et al. (2021),Applied Spatial Analysis and Policy,Confirmed COVID-19 cases,Europe,United Kingdom,Middle Layer Super Output Area,983,"March 1 - October 31, 2020",Negative,COVID-19; Fast Bayesian model-based detection method; Second wave; Socioeconomic disadvantage; Spatial cluster detection,"1,000 people per square mile of land area",Spatial regression,United Kingdom,Small Geographical Areas
126,308,Viswanathan et al. (2021),"Environment, Development and Sustainability",Confirmed COVID-19 cases,Asia,Malaysia,States,16,"March 13 - April 30, 202",Positive,Air quality; COVID-19; D614 mutant; Relative humidity; Temperature; Vulnerability,People per square kilometer of land area,Correlation analysis,Malaysia,Large Geographical Areas
127,309,Ogunyemi et al. (2021),Cureus,Confirmed COVID-19 cases,North America,United States,Cases,1067,"March 1 - July 31, 2020",Positive,covid-19; health care disparities; infection rates; southern california; minorities; community medicine; infection rate,People per square mile of land area,Logistic,United States,Others
128,310,Contreras-Manzano et al. (2020),Disaster Medicine and Public Health Preparedness,Confirmed COVID-19 cases,North America,Mexico,Municipalities,2457,"February 27 - June 20, 2020",Positive,COVID-19; Health determinants; Municipality-level; Risk factors; Social determinants,People per square kilometer of land area,Negative Binomial,Mexico,Small Geographical Areas
129,311,Yue (2021),Mobile Networks and Applications,Confirmed COVID-19 cases,Asia,China,Provinces,31,"December 31, 2019 - February 15, 2020",No association,COVID-19; Epidemic transmission; Inter-provincial openness; Spread of COVID-19; Epidemiology; Least squares approximations; Population statistics; Regression analysis; Structural analysis; Viruses; Business environments; Empirical analysis; Partial least squares regression; Passenger transport; Population densities; Structural elements; Temperature and relative humidity; Theoretical framework,People per square kilometer of land area,Partial least squares,China,Large Geographical Areas
130,312,Foo (2021),"Diabetes, Obesity and Metabolism",Confirmed COVID-19 cases,World,World,Countries,168,"December 31, 2019 - January 22, 2021",Positive,COVID-19; negative binomial regression; obesity prevalence; Female; Humans; Incidence; Obesity; Population Density; SARS-CoV-2,People per square kilometer of land area,Negative Binomial,NA,Large Geographical Areas
131,313,Ghanim (2021),Environmental Science and Pollution Research,Confirmed COVID-19 cases,Middle East,Saudi Arabia,Regions,10,"March 2 - June 30, 2020",No association,Air pollution; Ambient air; COVID-19; Infections; Pollutants concentration; SARS-CoV-2; Arabian Peninsula; Saudi Arabia; atmospheric pollution; mortality; pollutant removal; risk factor,People per square kilometer of land area,Correlation analysis,Saudi Arabia,Large Geographical Areas
132,314,Doni (2021),International Journal of System Assurance Engineering and Management,Confirmed COVID-19 cases,Asia,India,States,28,"January 27 - December 31, 2020",Positive,Bidirectional RNN (BRNN); Concurrent neural network (CNN); COVID-19; Deep learning; Long short-term memory (LSTM) and bidirectional LSTM (BLSTM); Recurrent neural network (RNN); Developing countries; Forecasting; Long short-term memory; Predictive analytics; Viruses; Health care professionals; Indian subcontinents; Learning approach; Learning models; Prediction model; Recurrent neural network (RNN); Research communities; Social distance,People per square kilometer of land area,Machine learning model,India,Large Geographical Areas
133,315,Anerson et al. (2021),Sociological Perspectives,Confirmed COVID-19 cases,North America,United States,Zip codes,638,"March 1 - April 30, 2020",No association,COVID-19; health inequality; race/ethnicity; residential segregation; SARS-CoV-2,People per square mile of land area,Spatial regression,United States,Small Geographical Areas
134,317,Arbel et al. (2021),The Annals of Regional Science,Confirmed COVID-19 cases,Middle East,Israel,Cities,238,"February 21 - May 11, 2020",Positive,Israel; COVID-19; disease prevalence; disease spread; epidemic; infectious disease; population density; risk factor,People per square kilometer of land area,Correlation analysis,Israel,Small Geographical Areas
135,319,Lyu et al. (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,North America,United States,Counties,46,"July 1 - December 31, 2020",No association,COVID-19; Healthcare disparities; Post-Acute Sequelae of SARS-CoV-2 infection; Social determinants of health; Spatial analysis; Pandemics; SARS-CoV-2; South Carolina; Spatial Regression;  South Carolina; United States; health risk; health services; infectivity; risk factor; severe acute respiratory syndrome; spatial analysis; temporal analysis,People per square mile of land area,Spatial regression,United States,Small Geographical Areas
136,320,Zheng et al. (2021),International Journal of Geo-Information,Confirmed COVID-19 cases,North America,United States,Counties,62,"March 1 - December 31, 2020",Positive,COVID-19; Geodetector; New york state; Space-time scan statistics; Spatial autocorrelation,People per square mile of land area,Classification Algorithm,United States,Small Geographical Areas
137,321,Tokey (2021),Journal of Transport & Health,Confirmed COVID-19 cases,North America,United States,Counties,3142,"March 20 -August 20, 2020",No association,COVID-19; Geographically weighted regression; Mobility; Social distancing; Space-time cube; Spatial autoregressive model,People per square mile of land area,Spatial regression,United States,Small Geographical Areas
138,322,Zhang et al. (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,Asia,China,Urban area,366,"December 20, 2019 - April 8, 2020",No association,China; COVID-19; Environmental risk perception; Order logistic regression; Resilient city; Spatial-temporal big data; Perception; Hubei; Wuhan; disease spread; environmental risk; epidemic; regression analysis; risk perception; spatial data,Ratio of the population to the built area,Logistic,China,Small Geographical Areas
139,323,Pérez-Segura et al. (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,Europe,Spain,Districts,199,"March 14 - May 13, 2020",No association,Cluster analysis; COVID-19; Environmental and socioeconomic risk factors; General linear model; Principal component analysis; The community of Madrid; Humans; Multivariate Analysis; Pandemics; Risk Factors; SARS-CoV-2; Spain; Madridl Spain;  cluster analysis; disease spread; disease transmission; environmental factor; epidemic; principal component analysis; risk factor,People per square kilometer of land area,OLS,Spain,Small Geographical Areas
140,325,Argentiero et al. (2021),Environmental Impact Assessment Review,Confirmed COVID-19 cases,Europe,Italy,Provinces,107,"January 30-June 21, 2020",No association,COVID-19 pandemic; Light pollution; Italy; Carbon footprint; Environmental impact assessments; Planning;   Cross section model; Environmental pollutions; Human health; Light pollution; Non linear; Per capita; Population ageing; aging population; COVID-19; infectious disease; light pollution; pollutant source; pollution policy; public health,People per square kilometer of land area,Correlation analysis,Italy,Large Geographical Areas
141,326,Lak et al. (2021),Sustainable Cities and Society,Confirmed COVID-19 cases,Middle East,Iran,Municipalities,22,"February 20 - July 20, 2020",Positive,COVID-19; Demographic factors; Geographically weighted regression (GWR); Place-based factors; Spatio-temporal analysis; Tehran; Land use; Population distribution; Population dynamics; Regression analysis; Urban planning; Demographic factors; Geographically weighted regression; Neighbourhood; Place-based; Place-based factor; Public transportation; Spatiotemporal analysis; Spatiotemporal patterns,People per hectare,Spatial regression,Iran,Small Geographical Areas
142,327,Zhang et al. (2021),Nature Medicine,Confirmed COVID-19 cases,World,Africa,Countries,54,"February 25 - August 5, 2020",No association,"Adult; Africa; Child; COVID-19; Epidemics; Female; Humans; Infant, Newborn; Male; Pandemics; Pregnancy; Risk Factors; SARS-CoV-2; Socioeconomic Factors; World Health Organization",People per square kilometer of land area,OLS,"Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cabo Verde, Cameroon, Central African Republic, Chad, Comoros, Republic of the Congo , Democratic Republic of the Congo , Ivory Coast, Djibouti, Egypt, Equatorial Guinea, Eritrea, Swaziland, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Rwanda, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan,  Sudan, Tanzania, Togo, Tunisia, Uganda, Zambia, Zimbabwe",Large Geographical Areas
143,330,Sharif et al. (2021),Journal of Healthcare Informatics Research,Confirmed COVID-19 cases,Asia,Bangladesh,Districts,64,"April 5  - June 6, 2020",Positive,ANOVA test; COVID-19; Fisher’s Exact test; Holt’s method; Infected cases; Analysis of variance (ANOVA); Forecasting; Population distribution; Population dynamics; Population statistics; ANOVA test; Bangladesh; Coronavirus disease 2019; Coronaviruses; Demographic variables; Exact tests; Fisher’s exact test; Holt’s method; Infected case; S-method,People per square kilometer of land area,ANOVA,Bangladesh,Small Geographical Areas
144,332,Bernet (2021),Journal of Racial and Ethnic Health Disparities,Confirmed COVID-19 cases,North America,United States,Counties,67,"March 1 - March 31, 2020",No association,COVID-19; Political affiliation; Racial and ethnic disparities; Segregation,People per square mile of land area,Spatial regression,United States,Small Geographical Areas
145,333,Kim et al. (2021),Scientific Reports,Confirmed COVID-19 cases,World,World,Countries,136,"December 31, 2019 - September 14, 2020",Positive,COVID-19; Global Health; Humans; Incidence; Mortality; Population Density; Risk Factors; SARS-CoV-2,People per square kilometer of land area,OLS,"Cambodia, China, Japan, Laos, Malaysia, Mongolia, Myanmar, Nepal, Philippines, Singapore, South Korea, Thailand, Vietnam, Austria, Belgium, Bulgaria, Canada, Czechia, Estonia, France, Germany, Hungary, Ireland, Latvia, Lithuania, Netherlands, Poland, Romania, Slovakia, Slovenia, Switzerland, United Kingdom, United States, Afghanistan, Albania, Belarus, Bosnia and Herzegovina, Croatia, Republic of Georgia, Kazakhstan, Kyrgyzstan, Moldova, North Macedonia, Russia, Serbia, Ukraine, Uzbekistan, Colombia, Costa Rica, Cuba, Dominican Republic, El salvador, Guatemala, Haiti, Honduras, Jamaica, Mexico, Panama, Trinidad and Tobago, Venezuela, Cyprus, Greece, Italy, Portugal, Spain, Armenia, Azerbaijan, Bahrain, Egypt, Iran, Iraq, Israel, Jordan, Kuwait, Lebanon, Libya, Mali, Mauritania, Morocco, Oman, Qatar, Saudi Arabia, South Sudan, Tunisia, Turkey, United Arab Emirates, Denmark, Finland, Norway, Sweden, Bangladesh, India, Pakistan, Sri Lanka, Benin, Cameroon, Central African Republic, Cote d’Ivoire, Equatorial Guinea, Ethiopia, The Gambia, Ghana, Guinea, Nigeria, Senegal, Togo, Uganda",Large Geographical Areas
146,336,Dhewantara et al. (2021),Transboundary and Emerging Diseases,Confirmed COVID-19 cases,Asia,Indonesia,Villages,267,"March 3, 2020  - June 30, 2021",Negative,COVID-19; Indonesia; inequality; socio-demographics; spatial analysis,People per square kilometer of land area,Poisson,Indonesia,Small Geographical Areas
147,337,Ganasegeran et al. (2021),International Journal of Environmental Research and Public Health,Confirmed COVID-19 cases,Asia,Malaysia,Districts,144,"January 22 - February 4, 2021",Positive,Clusters; COVID-19; Malaysia; Population density; Urbanization; Communicable Disease Control; Humans; Malaysia; Population Density; SARS-CoV-2;    cluster analysis; correlation; disease spread; disease transmission; population density; urbanization,People per square kilometer of land area,Correlation analysis,Malaysia,Small Geographical Areas
148,341,Mashrur et al. (2021),Clinical Epidemiology and Global Health,Confirmed COVID-19 cases,World,World,Countries,29,"December 31, 2019 - June 10, 2020",No association,COVID-19; Demographic; Environmental; Government intervention; Severe acute respiratory syndrome coronavirus 2;     air pollution; alcohol consumption; Article; coronavirus disease 2019; cross-sectional study; environmental temperature; health care cost; human; income; literacy; lockdown; obesity; particulate matter 2.5; relative humidity; risk factor; smoking; urban population; virus transmission,People per square kilometer of land area,OLS,NA,Large Geographical Areas
149,342,Wang et al. (2021),Administração Pública e Gestão Social,Confirmed COVID-19 cases,South America,Brazil,Municipalities,290,"March 13 - July 12, 2020",No association,Brazil;  socioeconomic factors;  Government; med COVID-19; government policies;  public health,People per square kilometer of land area,OLS,Brazil,Small Geographical Areas
150,344,Rios and Gianmoena (2021),Regional Science Policy & Practice,Confirmed COVID-19 cases,Europe,Italy,Regions,20,"February 24 - April 15, 2020",No association,Bayesian model averaging; COVID-19; infections; Italian regions; spatial econometrics; temperatures,People per square kilometer of land area,Bayesian regression ,Italy,Large Geographical Areas
151,345,Gaskin et al. (2020),Transport Policy,Confirmed COVID-19 cases,North America,United States,Counties,3132,"January 21 - August 18, 2020",No association,Airports; COVID-19 cases; COVID-19 deaths; Geographic disparities; SARS-CoV-2; Transportation; United States; airport; disease spread; disease transmission; public health; transportation development; viral disease;,People per square kilometer of land area,Negative Binomial,United States,Small Geographical Areas
152,347,Yang et al. (2020),Ethnicity & Health,Confirmed COVID-19 cases,North America,United States,Counties,3042,"January 23 - June 13, 2020",Positive,"county; COVID-19; racial/ethnic density; residential segregation; Adult; Aged; Censuses; Continental Population Groups; Ethnic Groups; Health Status Disparities; Humans; Middle Aged; Minority Groups; Models, Statistical; Residence Characteristics; Socioeconomic Factors; United States",People per square mile of land area,Negative Binomial,United States,Small Geographical Areas
153,348,Sarmadi et al. (2020),"Air Quality, Atmosphere & Health",Confirmed COVID-19 cases,North America,United States,States,50,"January 20 - June 6, 2020",Positive,Air quality index; Comorbidities; COVID-19; Income; Longitude; Population density; United States;  air quality; COVID-19; Gross Domestic Product; index method; morbidity; mortality; nitric oxide; pneumonia,People per square mile of land area,OLS,United States,Large Geographical Areas
154,349,Vasquez-Apestegui etl al. (2021),BMC Public Health,Confirmed COVID-19 cases,South America,Peru,Districts,24,"March 6 - June 12, 2020",No association,"Air pollution; Fatality rate; Long-term exposure; Particulate matter; Social distancing; Air Pollutants; Air Pollution; Child, Preschool; China; COVID-19; Humans; Incidence; Particulate Matter; Peru; SARS-CoV-2",People per square kilometer of land area,Cluster analysis,Peru,Small Geographical Areas
155,353,Bhadra et al. (2020),Modeling Earth Systems and Environment,Confirmed COVID-19 cases,Asia,India,Districts,718,"January 27 - September 10, 2020",Positive,Covid-19; India; Infection and mortality rate; Population density,People per square kilometer of land area,OLS,India,Small Geographical Areas
156,354,Metelmann et al. (2021),One Health,Confirmed COVID-19 cases,World,World,Cities,374,"January 1 - July 8, 2020",Positive,Climate; COVID-19; Demographic; Epidemic response; Metropolitan areas; R0; SARS-CoV-2; Socio-economic; China; City; geographic distribution; growth curve; human; least square analysis; pandemic,People per square kilometer of land area,OLS,"Argentina, Belgium, Canada, China, Ecuador, India, Japan, Kazakhstan, Niger, Paraguay, Russia, Singapore, United Kingdom, Australia, Belgium, Brazil, Burkina Faso, Chile, Colombia, Republic, Democratic Republic of the Congo , Ivory Coast, Djibouti, Ethiopia, Germany, Ghana, India, Indonesia, Italy, Japan, Kenya, Malaysia, Mexico, Netherlands, Nigeria, Norway, Pakistan, Peru, Philippines, Senegal, Somalia, South Africa, South Korea, Spain, Sudan, Sweden, Thailand, United Kingdom, United States",Small Geographical Areas
157,355,Biggs et al. (2021),Frontiers in Public Health,Confirmed COVID-19 cases,North America,United States,Cases,1105,"March 9 - August 24, 2020",Positive,CDC SVI; COVID-19; Louisiana; racial disparities; SARS- CoV2; social vulnerability; Censuses; COVID-19; Humans; Incidence; Louisiana; Population Surveillance; SARS-CoV-2; Socioeconomic Factors; Vulnerable Populations; ncidence; Louisiana; population research; socioeconomic,People per square mile of land area,Negative Binomial,United States,Others
158,357,Florida and Mellander (2021),The Annals of Regional Science,Confirmed COVID-19 cases,Europe,Sweden,Municipalities,290,"February 3 - August 2, 2020",Negative,age; populationd ensity; cOVID-19; population size; socioeconomic faactors; Sweden,People per square kilometer of land area,Correlation analysis,Sweden,Small Geographical Areas
159,358,Wang et al. (2021),Cities,Confirmed COVID-19 cases,North America,United States,Counties,634,"April 27 - July 8, 2020",Positive,United States; COVID-19; disease control; disease incidence; disease spread; disease transmission; epidemic; multivariate analysis,People per square mile of land area,Structural Equation,United States,Small Geographical Areas
160,359,Zakianis et al. (2021),One Health,Confirmed COVID-19 cases,Asia,Indonesia,Sub-districts,44,"February 27 - June 21, 2021",Positive,COVID-19; Environmental health factor; Sanitation; Slum area; Sociodemographic factor;  awareness; coronavirus disease 2019; educational status; environmental health; environmental sanitation; human; incidence; Indonesia; population density; risk factor; social status,People per square kilometer of land area,Correlation analysis,Indonesia,Small Geographical Areas
161,360,Mondal et al. (2021),Science of the Total Environment,Confirmed COVID-19 cases,North America,United States,Counties,62,"March 1 - May 16, 2020",Positive,Air quality; Clustering; COVID-19; New York state; PM2.5; Stepwise regression;  Air Pollution; Humans; Incidence; New York; New York City; SARS-CoV-2; United States; Air quality; Population statistics; Regression analysis; cluster analysis; PM 2.5; Stepwise regression; Environmental variables; Infection rates,People per square mile of land area,Cluster analysis,United States,Small Geographical Areas
248,362,Bouba et al. (2021),Frontiers in Medicine,cummulative COVID-19 cases,World,Africa,Countries,54,"February 14, 2020, to February 4, 2021",No association,Africa; COVID-19; cross-country analysis; mortality; transmission; Life Expectancy; Pandemics; SARS-CoV-2,People per square mile of land area,OLS,"Algeria, Angola, Benin, Botswana, Burkina Faso, Burundi, Cabo Verde, Cameroon, Central African Republic, Chad, Comoros, Republic of the Congo , Democratic Republic of the Congo , Ivory Coast, Djibouti, Egypt, Equatorial Guinea, Eritrea, Swaziland, Ethiopia, Gabon, Gambia, Ghana, Guinea, Guinea-Bissau, Kenya, Lesotho, Liberia, Libya, Madagascar, Malawi, Mali, Mauritania, Mauritius, Morocco, Mozambique, Namibia, Niger, Nigeria, Rwanda, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Somalia, South Africa, South Sudan,  Sudan, Tanzania, Togo, Tunisia, Uganda, Zambia, Zimbabwe",Large Geographical Areas
249,363,Halos et al. (2021),Modeling Earth Systems and Environment,Morbidity,World,Middle East,Cities,25,"1 January, 2020 to 1 July 2020",Positive,Baghdad; COVID-19; Kuwait; PM2.5; Population; Weather,People per square kilometer of land area,Correlation analysis,"Baghdad, Kuwait",Small Geographical Areas
250,364,Pribadi et al. (2021),Spatial and Spatio-temporal Epidemiology,Confirmed COVID-19 cases,Asia,Indonesia,Villages,261,"March 25, 2020 to April 28 2020",Positive,COVID-19; Emerging hot spot analysis; Geographical weighted regression (GWR); Jakarta; Large scale social restriction (LSSR); Scan statistic; Disease Outbreaks; Humans; Pandemics; Policy; SARS-CoV-2; Spatial Analysis; population density; population distribution; spatial analysis; epidemic; policy,People per square kilometer of land area,Spatial regression,Indonesia,Small Geographical Areas
254,368,Bin Kashem et al. (2021),Sustainable Cities and Society,cummulative COVID-19 cases,North America,United States,Zip codes,58,"March, 2020 to November 2020",No association,Chicago; COVID-19; density; mobility; social vulnerability; Population statistics; Built environment; Case-studies; Chicago; Density; Mobility; Shelter-in-place; Social vulnerability; Time-periods; Vulnerable communities,People per square mile of land area,Correlation analysis,United States,Small Geographical Areas
255,369,Kephart et al. (2021),The Lancet Digital Health,COVID-19 incidence,World,Latin America,Cities,314,"March 3, 2020 to August 29 2020",Positive,Cell Phone; Cities; COVID-19; COVID-19 Vaccines; Health Services Accessibility; Humans; Incidence; Latin America; Longitudinal Studies; Pandemics; Population Dynamics; Poverty; SARS-CoV-2; incidence; longitudinal study; mobile phone; poverty,"1,000 people per square kilometer of land area",Negative Binomial,"Argentina, Brazil, Colombia, Guatemala, Mexico",Small Geographical Areas
257,371,Morrisey at al. (2021),Social Science & Medicine,monthly COVID-19 cases,Europe,England,Middle Layer Super Output Areas,7201,"January 31, 2020 to March 23, 2020",Positive,COVID-19 cases; Deprivation; England; Government policy; Panel data analysis; Aged; England; Government; Humans; Policy; SARS-CoV-2;  ethnicity; health policy; panel data; policy analysis; public health; state role; trend analysis; public policy; social isolation; travel restriction,Dwellings per hectare,Poisson,England,Small Geographical Areas
258,372,Lima et al. (2021),Entropy,COVID-19 prevalence,North America,United States,Cities,93,"January 21, 2020 to April 28, 2020",Positive,COVID-19; COVID-19 spread; Population density; Population size; Walkability,People per square mile of land area,Machine learning model,United States,Small Geographical Areas
260,374,Hamidi & Hamidi (2021),American Journal of Preventive Medicine,cummulative COVID-19 cases,North America,United States,Zip codes,177,"April 1, 2020 to May 25, 2020",No association,COVID-19; Crowding; Humans; New York City; Population Density; Railroads; social determinants of health; socioeconomics; epidemiology; population density; railway,People per square mile of land area,Spatial regression,United States,Small Geographical Areas
262,376,Shelar et al. (2021),Spatial Information Research,per-capita Confirmed COVID-19 cases,Asia,India,Districts,36,"March 25, 2020 to July 8, 2020",Positive,COVID-19; performance index; Economic and demographic factors; India; Pandemic; Spatial; Composite indicators,People per square kilometer of land area,Spatial regression,India,Small Geographical Areas
268,382,Paez (2021),Geographical Analysis,reproductive number of COVID-19 cases,North America,United States,Counties,3000,"March, 2020 to January 2021",Positive,SARS-CoV-2; COVID-19; population density; Spatial analuysis; epidemiology; spatiotemporal analysis,"1,000 people per square kilometer of land area",Spatial regression,United States,Small Geographical Areas
269,383,Qiu et al. (2021),One Health,case incidence ratios,Asia,China,Cities,366,"January 11, 2020 to June 11, 2020",Positive,Atmospheric environmental quality; COVID-19; Human mobility; Meteorology; Mixed-effects mixed-distribution model; Non-pharmaceutical interventions; carbon monoxide; nitrogen dioxide; ozone; articulate matter 10; particulate matter 2.5; population structure; prediction; social aspect,People per square kilometer of land area,Logistic,China,Small Geographical Areas
272,386,Sophie Jannot et al. (2021),Journal of Epidemiology and Community Health,Hospitalization risk,Europe,France,residential units,885,"February 1 - Jun 4, 2020",No association,cohort studies; communicable diseases; COVID-19; deprivation; healthcare disparities;  Adolescent; Epidemics; Female; Humans; Incidence; Middle Aged; Paris; SARS-CoV-2; Socioeconomic Factors; disease incidence; disease severity; epidemic; neighborhood; viral disease,People per square kilometer of land area,Correlation analysis,France,Small Geographical Areas
273,387,Pereira et al. (2021),GeoJournal,Confirmed COVID-19 cases,World,World,countries,193,"December 31, 2019 - May 5, 2021",No association,Composite indicator; COVID-19; Generalized reduced gradient; K-means clustering; Principal component analysis;  K-means clustering;  Composite indicators;Environmental factors; Exposed to; Generalized reduced gradient; Health factors; K-means++ clustering; Life expectancies; Principal-component analysis; Social economic factors,People per square kilometer of land area,Cluster analysis,"Afghanistan, Albania, Algeria, Angola, Antigua and Barbuda, Argentina, Armenia, Australia, Austria, Azerbaijan, Bahamas, Bahrain, Bangladesh, Barbados, Belgium, Belize, Benin, Bhutan, Bolivia, Bosnia and Herzegovina, Botswana, Brazil, Brunei, Bulgaria, Burkina Faso, Cambodia, Cameroon, Canada, Cape Verde, Central African Republic, Chad, Chile, China, Colombia, Comoros, Congo, Costa Rica,Ivory Coast, Croatia, Cuba, Cyprus, Denmark, Djibouti, Dominican Republic, Ecuador, Egypt, El Salvador, Equatorial Guinea, Eritrea, Estonia, Eswatini, Ethiopia, Fiji, Finland, France, Gabon, Gambia, Georgia, Germany, Ghana, Greece, Grenada, Guatemala, Guinea, Guinea-Bissau, Guyana, Haiti, Honduras, Iceland, India, Iran, Iraq, Ireland, Israel, Italy, Jamaica, Jordan, Kazakhstan, Kenya, Kuwait, Kyrgyzstan, Latvia, Lebanon, Lesotho, Liberia, Libya, Lithuania, Malawi, Malaysia, Maldives, Mali, Malta, Mauritania, Mexico, Moldova, Mongolia, Morocco, Mozambique, Myanmar, Namibia, Nepal, Netherlands, New Zealand, Niger, Nigeria, North Macedonia, Norway, Oman, Pakistan, Palestine, Panama, Papua New Guinea, Paraguay, Peru, Philippines, Poland, Portugal, Romania, Russia, Rwanda, Saint Lucia, Saint Vincent and the Grenadines, Sao Tome and Principe, Saudi Arabia, Senegal, Serbia, Seychelles, Sierra Leone, Slovakia, Slovenia, Somalia, South Africa, South Sudan, Spain, Sri Lanka, Sudan, Suriname, Sweden, Switzerland, Syria, Tajikistan, Thailand, Togo, Trinidad and Tobago, Tunisia, Turkey, Uganda, Ukraine, United Arab Emirates, United Kingdom, United States, Uruguay, Vanuatu, Venezuela, Yemen, Zambia, Zimbabwe",Large Geographical Areas
277,391,Gao et al. (2021),Journal of Medical Virology,Diffusion ratio,Asia,China,patients,168,"December 20, 2019 - 30 October 20220",Positive,COVID-19; demographic characteristics; Hainan province; influencing factors; pattern of diffusion; spatiotemporal evolution; China; Epidemics; Female; Humans; Male; Risk Factors; SARS-CoV-2; Spatio-Temporal Analysis,"10,000 people per square kilometer of land area",Partial least squares,China,Others
279,393,Huang eat al. (2021),EClinicalMedicine,COVID-19 dailycumulative case counts,North America,United States,counties,3112,January 22 2020 - January  31 2021,No association,Covid-19; Elastic net; Functional principal component analysis; Lockdown;     acceleration; adult; age; Article; clinical evaluation; coronavirus disease 2019; disease transmission; family income; female; follow up; Gini coefficient; health care planning; health impact assessment; human; lockdown; machine learning; male; population research; principal component analysis; risk factor; United States,People per square mile of land area,Machine learning model,United States,Small Geographical Areas
281,395,González-Val and Sanz-Gracia (2021),Papers in Regional Science,"Cumulative number of cases per 100,000",World,World,countires,90,January22  2020 - Dec31  2021,Positive,COVID-19 incidence; parametric and semiparametric methods; urban variables,People per square kilometer of land area,Spatial regression,"Argentina, Australia, Austria, Bahrain, Bangladesh, Belarus, Belgium, Bolivia, Bosnia and Herzegovina, Brazil, Bulgaria, Cambodia, Cameroon, Canada, Chile, Colombia, Costa Rica, Croatia, Czechia, Denmark, Dominican Republic, Ecuador, Egypt, El Salvador, Estonia, Finland, France, Georgia, Germany, Ghana, Greece, Guatemala, Haiti, Honduras, Hungary, India, Indonesia, Iraq, Ireland, Italy, Ivory Coast, Jamaica, Japan, Jordan, Kazakhstan, Kenya, Kyrgyzstan, Latvia, Lebanon, Lithuania, Malaysia, Mexico, Moldova, Morocco, Myanmar, Nepal, Netherlands, NewZealand, Nigeria, Norway, Oman, Pakistan, Peru, Philippines, Poland, Portugal, Qatar, Romania, Russian, Saudi Arabia, Senegal, Serbia, Slovakia, South Africa, South Korea, Spain, Sri Lanka, States, Sweden, Switzerland, Tajikistan, Tanzania, Thailand, Turkey, Uganda, Ukraine, United Arab Emirates, United Kingdom, Vietnam, Zimbabwe",Large Geographical Areas
282,396,Bayode et al. (2021),Applied Geography,Incidence rate,Africa,Nigeria,states,36,"27 February - May 31, 2020",Positive,COVID-19; Crude rate; Nigeria; Spatial dependence; Spatial planning; Spatial statistics; airport; autocorrelation; least squares method; population density; regression analysis; risk factor; spatial planning; spatial variation; urban planning,People per square kilometer of land area,Spatial regression,Nigeria,Large Geographical Areas
